City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,28.8,64,100,13.34,YE,1720084191
1,lata,40.1629,-8.3327,29.16,44,4,1.49,PT,1720084192
2,bilibino,68.0546,166.4372,20.88,50,85,1.32,RU,1720084194
3,suva,-18.1416,178.4415,24.71,94,75,1.03,FJ,1720084197
4,blackmans bay,-43.0167,147.3167,6.52,84,5,0.45,AU,1720084198
5,waitangi,-43.9535,-176.5597,10.01,73,100,5.96,NZ,1720084200
6,fontanelas,38.8472,-9.4372,22.57,77,20,5.66,PT,1720084201
7,azadshahr,34.7909,48.5707,31.27,13,0,2.06,IR,1720084203
8,kupang,-10.1667,123.5833,30.32,66,40,5.66,ID,1720084205
9,port elizabeth,-33.918,25.5701,17.28,62,20,11.83,ZA,1720084206
10,puerto natales,-51.7236,-72.4875,2.32,72,84,6.07,CL,1720084208
11,bredasdorp,-34.5322,20.0403,14.72,64,4,4.86,ZA,1720084209
12,northam,51.0333,-4.2167,14.66,73,100,7.47,GB,1720084211
13,albany,42.6001,-73.9662,21.05,70,78,1.72,US,1720084212
14,adamstown,-25.066,-130.1015,20.62,64,99,2.4,PN,1720084214
15,malyn,50.7723,29.2383,25.27,65,100,1.0,UA,1720084215
16,vryheid,-27.7695,30.7917,16.77,17,0,8.08,ZA,1720084217
17,port-aux-francais,-49.35,70.2167,1.09,60,35,3.65,TF,1720084218
18,west island,-12.1568,96.8225,29.99,79,40,8.75,CC,1720084220
19,san patricio,28.017,-97.5169,28.94,87,2,3.5,US,1720084221
20,kodiak,57.79,-152.4072,7.73,87,0,2.57,US,1720084223
21,puerto ayora,-0.7393,-90.3518,21.42,98,96,2.33,EC,1720084224
22,misawa,40.6836,141.3597,24.22,71,77,2.74,JP,1720084226
23,new norfolk,-42.7826,147.0587,7.18,95,3,1.21,AU,1720084227
24,fuxin,42.0156,121.6589,24.83,66,100,4.11,CN,1720084229
25,mahina,-17.5065,-149.489,25.42,73,75,1.54,PF,1720084230
26,grytviken,-54.2811,-36.5092,-5.21,62,3,1.01,GS,1720084232
27,bodo,67.28,14.405,18.21,59,0,3.6,NO,1720084233
28,papatowai,-46.5619,169.4708,7.68,81,100,3.7,NZ,1720084235
29,margaret river,-33.95,115.0667,15.09,62,8,2.98,AU,1720084136
30,oranjemund,-28.55,16.4333,16.24,61,6,3.36,NA,1720084238
31,vorgashor,67.5833,63.95,21.54,63,86,5.76,RU,1720084241
32,fort bragg,35.139,-79.006,23.44,90,100,0.45,US,1720084243
33,ushuaia,-54.8,-68.3,1.81,93,100,3.6,AR,1720084244
34,youghal,51.95,-7.8506,14.56,73,66,7.03,IE,1720084246
35,piet retief,-27.0071,30.8132,18.45,12,0,5.98,ZA,1720084247
36,hawaiian paradise park,19.5933,-154.9731,22.63,95,87,2.54,US,1720084249
37,avarua,-21.2078,-159.775,24.03,78,75,5.66,CK,1720084250
38,andratx,39.5755,2.4202,28.86,46,3,1.81,ES,1720084252
39,richards bay,-28.783,32.0377,22.65,44,0,7.43,ZA,1720084253
40,bossangoa,6.4926,17.4552,25.63,76,100,0.9,CF,1720084255
41,iskateley,67.6803,53.1512,14.25,87,43,12.69,RU,1720084256
42,ilulissat,69.2167,-51.1,5.01,81,20,1.54,GL,1720084258
43,jacmel,18.2342,-72.5347,26.22,89,100,1.48,HT,1720084259
44,saint-francois,46.4154,3.9054,18.69,72,100,3.09,FR,1720084261
